cod_munic;munic;ano;mes;pop
3300936;Carapebus;2006;10;11360
3301157;Cardoso Moreira;2006;10;12598
3301207;Carmo;2006;10;16597
3301306;Casimiro de Abreu;2006;10;29673
3300951;Comendador Levy Gasparian;2006;10;8083
3301405;Conceição de Macabu;2006;10;20266
3301504;Cordeiro;2006;10;19724
3301603;Duas Barras;2006;10;10703
3301702;Duque de Caxias;2006;10;824295
3301801;Engenheiro Paulo de Frontin;2006;10;12824
3301850;Guapimirim;2006;10;45925
3301876;Iguaba Grande;2006;10;19561
3301900;Itaboraí;2006;10;206022
3302007;Itaguaí;2006;10;98027
3302056;Italva;2006;10;13504
3302106;Itaocara;2006;10;22938
3302205;Itaperuna;2006;10;92314
3302254;Itatiaia;2006;10;27195
3302270;Japeri;2006;10;90717
3302304;Laje do Muriaé;2006;10;7643
3302403;Macaé;2006;10;174988
3302452;Macuco;2006;10;5122
3302502;Magé;2006;10;219014
3302601;Mangaratiba;2006;10;31605
3302700;Maricá;2006;10;105407
3302809;Mendes;2006;10;17690
3302858;Mesquita;2006;10;168250
3302908;Miguel Pereira;2006;10;24362
3303005;Miracema;2006;10;26926
3303104;Natividade;2006;10;15098
3303203;Nilópolis;2006;10;156022
3303302;Niterói;2006;10;476826
3303401;Nova Friburgo;2006;10;178784
3303500;Nova Iguaçu;2006;10;784344
3303609;Paracambi;2006;10;44513
3303708;Paraíba do Sul;2006;10;39666
3303807;Paraty;2006;10;34313
3303856;Paty do Alferes;2006;10;25814
3303906;Petrópolis;2006;10;292364
3303955;Pinheiral;2006;10;21447
3304003;Piraí;2006;10;24655
3304102;Porciúncula;2006;10;17059
3304110;Porto Real;2006;10;14739
3304128;Quatis;2006;10;11977
3304144;Queimados;2006;10;131745
3304151;Quissamã;2006;10;17476
3304201;Resende;2006;10;113820
3304300;Rio Bonito;2006;10;53277
3304409;Rio Claro;2006;10;16966
3304508;Rio das Flores;2006;10;8197
3304524;Rio das Ostras;2006;10;70968
3304557;Rio de Janeiro;2006;10;6142902
3304607;Santa Maria Madalena;2006;10;10379
3304706;Santo Antônio de Pádua;2006;10;39867
3304805;São Fidélis;2006;10;37258
3304755;São Francisco de Itabapoana;2006;10;41276
3304904;São Gonçalo;2006;10;957544
3305000;São João da Barra;2006;10;30748
3305109;São João de Meriti;2006;10;455202
3305133;São José de Ubá;2006;10;6776
3305158;São José do Vale do Rio Preto;2006;10;19881
3305208;São Pedro da Aldeia;2006;10;77680
3305307;São Sebastião do Alto;2006;10;8707
3305406;Sapucaia;2006;10;17386
3305505;Saquarema;2006;10;65182
3305554;Seropédica;2006;10;73066
3305604;Silva Jardim;2006;10;21317
3305703;Sumidouro;2006;10;14624
3305752;Tanguá;2006;10;28889
3305802;Teresópolis;2006;10;153611
3305901;Trajano de Moraes;2006;10;10194
3306008;Três Rios;2006;10;75340
3306107;Valença;2006;10;69716
3306156;Varre-Sai;2006;10;8832
3306206;Vassouras;2006;10;33269
3306305;Volta Redonda;2006;10;251785
3300100;Angra dos Reis;2006;11;149030
3300159;Aperibé;2006;11;9347
3300209;Araruama;2006;11;100277
3300225;Areal;2006;11;10839
3300233;Armação dos Búzios;2006;11;23678
3300258;Arraial do Cabo;2006;11;26242
3300308;Barra do Piraí;2006;11;92428
3300407;Barra Mansa;2006;11;175192
3300456;Belford Roxo;2006;11;456242
3300506;Bom Jardim;2006;11;24315
3300605;Bom Jesus do Itabapoana;2006;11;34757
3300704;Cabo Frio;2006;11;161797
3300803;Cachoeiras de Macacu;2006;11;52098
3300902;Cambuci;2006;11;14769
3301009;Campos dos Goytacazes;2006;11;442073
3301108;Cantagalo;2006;11;19832
3300936;Carapebus;2006;11;11402
3301157;Cardoso Moreira;2006;11;12598
3301207;Carmo;2006;11;16615
3301306;Casimiro de Abreu;2006;11;29791
3300951;Comendador Levy Gasparian;2006;11;8085
3301405;Conceição de Macabu;2006;11;20286
3301504;Cordeiro;2006;11;19740
3301603;Duas Barras;2006;11;10708
3301702;Duque de Caxias;2006;11;824970
3301801;Engenheiro Paulo de Frontin;2006;11;12833
3301850;Guapimirim;2006;11;46044
3301876;Iguaba Grande;2006;11;19630
3301900;Itaboraí;2006;11;206283
3302007;Itaguaí;2006;11;98263
3302056;Italva;2006;11;13516
3302106;Itaocara;2006;11;22937
3302205;Itaperuna;2006;11;92392
3302254;Itatiaia;2006;11;27230
3302270;Japeri;2006;11;90821
3302304;Laje do Muriaé;2006;11;7639
3302403;Macaé;2006;11;175651
3302452;Macuco;2006;11;5125
3302502;Magé;2006;11;219196
3302601;Mangaratiba;2006;11;31708
3302700;Maricá;2006;11;105864
3302809;Mendes;2006;11;17695
3302858;Mesquita;2006;11;168253
3302908;Miguel Pereira;2006;11;24368
3303005;Miracema;2006;11;26924
3303104;Natividade;2006;11;15098
3303203;Nilópolis;2006;11;156053
3303302;Niterói;2006;11;477063
3303401;Nova Friburgo;2006;11;178857
3303500;Nova Iguaçu;2006;11;784607
3303609;Paracambi;2006;11;44569
3303708;Paraíba do Sul;2006;11;39697
3303807;Paraty;2006;11;34383
3303856;Paty do Alferes;2006;11;25826
3303906;Petrópolis;2006;11;292443
3303955;Pinheiral;2006;11;21474
3304003;Piraí;2006;11;24691
3304102;Porciúncula;2006;11;17075
3304110;Porto Real;2006;11;14778
3304128;Quatis;2006;11;11995
3304144;Queimados;2006;11;131880
3304151;Quissamã;2006;11;17534
3304201;Resende;2006;11;113950
3304300;Rio Bonito;2006;11;53327
3304409;Rio Claro;2006;11;16976
3304508;Rio das Flores;2006;11;8205
3304524;Rio das Ostras;2006;11;71633
3304557;Rio de Janeiro;2006;11;6146807
3304607;Santa Maria Madalena;2006;11;10378
3304706;Santo Antônio de Pádua;2006;11;39883
3304805;São Fidélis;2006;11;37265
3304755;São Francisco de Itabapoana;2006;11;41277
3304904;São Gonçalo;2006;11;958467
3305000;São João da Barra;2006;11;30792
3305109;São João de Meriti;2006;11;455279
3305133;São José de Ubá;2006;11;6781
3305158;São José do Vale do Rio Preto;2006;11;19889
3305208;São Pedro da Aldeia;2006;11;77897
3305307;São Sebastião do Alto;2006;11;8711
3305406;Sapucaia;2006;11;17389
3305505;Saquarema;2006;11;65374
3305554;Seropédica;2006;11;73177
3305604;Silva Jardim;2006;11;21318
3305703;Sumidouro;2006;11;14630
3305752;Tanguá;2006;11;28929
3305802;Teresópolis;2006;11;153831
3305901;Trajano de Moraes;2006;11;10196
3306008;Três Rios;2006;11;75386
3306107;Valença;2006;11;69762
3306156;Varre-Sai;2006;11;8846
3306206;Vassouras;2006;11;33294
3306305;Volta Redonda;2006;11;251918
3300100;Angra dos Reis;2006;12;149474
3300159;Aperibé;2006;12;9366
3300209;Araruama;2006;12;100534
3300225;Areal;2006;12;10852
3300233;Armação dos Búzios;2006;12;23762
3300258;Arraial do Cabo;2006;12;26275
3300308;Barra do Piraí;2006;12;92481
3300407;Barra Mansa;2006;12;175251
3300456;Belford Roxo;2006;12;456536
3300506;Bom Jardim;2006;12;24338
3300605;Bom Jesus do Itabapoana;2006;12;34772
3300704;Cabo Frio;2006;12;162325
3300803;Cachoeiras de Macacu;2006;12;52147
3300902;Cambuci;2006;12;14771
3301009;Campos dos Goytacazes;2006;12;442557
3301108;Cantagalo;2006;12;19832
3300936;Carapebus;2006;12;11444
3301157;Cardoso Moreira;2006;12;12598
3301207;Carmo;2006;12;16633
3301306;Casimiro de Abreu;2006;12;29910
3300951;Comendador Levy Gasparian;2006;12;8087
3301405;Conceição de Macabu;2006;12;20307
3301504;Cordeiro;2006;12;19755
3301603;Duas Barras;2006;12;10713
3301702;Duque de Caxias;2006;12;825645
3301801;Engenheiro Paulo de Frontin;2006;12;12842
3301850;Guapimirim;2006;12;46162
3301876;Iguaba Grande;2006;12;19700
3301900;Itaboraí;2006;12;206544
3302007;Itaguaí;2006;12;98500
3302056;Italva;2006;12;13529
3302106;Itaocara;2006;12;22936
3302205;Itaperuna;2006;12;92469
3302254;Itatiaia;2006;12;27264
3302270;Japeri;2006;12;90925
3302304;Laje do Muriaé;2006;12;7636
3302403;Macaé;2006;12;176318
3302452;Macuco;2006;12;5128
3302502;Magé;2006;12;219378
3302601;Mangaratiba;2006;12;31810
3302700;Maricá;2006;12;106323
3302809;Mendes;2006;12;17701
3302858;Mesquita;2006;12;168256
3302908;Miguel Pereira;2006;12;24374
3303005;Miracema;2006;12;26922
3303104;Natividade;2006;12;15097
3303203;Nilópolis;2006;12;156084
3303302;Niterói;2006;12;477300
3303401;Nova Friburgo;2006;12;178930
3303500;Nova Iguaçu;2006;12;784870
3303609;Paracambi;2006;12;44626
3303708;Paraíba do Sul;2006;12;39728
3303807;Paraty;2006;12;34452
3303856;Paty do Alferes;2006;12;25838
3303906;Petrópolis;2006;12;292522
3303955;Pinheiral;2006;12;21502
3304003;Piraí;2006;12;24727
3304102;Porciúncula;2006;12;17090
3304110;Porto Real;2006;12;14818
3304128;Quatis;2006;12;12012
3304144;Queimados;2006;12;132017
3304151;Quissamã;2006;12;17593
3304201;Resende;2006;12;114080
3304300;Rio Bonito;2006;12;53377
3304409;Rio Claro;2006;12;16986
3304508;Rio das Flores;2006;12;8213
3304524;Rio das Ostras;2006;12;72304
3304557;Rio de Janeiro;2006;12;6150714
3304607;Santa Maria Madalena;2006;12;10376
3304706;Santo Antônio de Pádua;2006;12;39899
3304805;São Fidélis;2006;12;37271
3304755;São Francisco de Itabapoana;2006;12;41279
3304904;São Gonçalo;2006;12;959391
3305000;São João da Barra;2006;12;30835
3305109;São João de Meriti;2006;12;455356
3305133;São José de Ubá;2006;12;6786
3305158;São José do Vale do Rio Preto;2006;12;19897
3305208;São Pedro da Aldeia;2006;12;78114
3305307;São Sebastião do Alto;2006;12;8715
3305406;Sapucaia;2006;12;17392
3305505;Saquarema;2006;12;65566
3305554;Seropédica;2006;12;73288
3305604;Silva Jardim;2006;12;21319
3305703;Sumidouro;2006;12;14636
3305752;Tanguá;2006;12;28969
3305802;Teresópolis;2006;12;154051
